"numero_correlativo","tipo_societario","descripcion_tipo_societario","razon_social","tipo_domicilio","descripcion_tipo_domicilio","calle","numero","localidad","provincia","codigo_postal"
"1984706","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","HI COMEX TEAM","L","LEGAL","PUAN","559","CAPITAL FEDERAL","CAPITAL FEDERAL","1406"
"1984711","50","SOC. ANONIMA","MARE ARGENTINA","L","LEGAL","FLORIDA","1","CAPITAL FEDERAL","",""
"1984713","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","COMPETIDOR LINES","L","LEGAL","PELLEGRINI CARLOS","651","CAPITAL FEDERAL","CAPITAL FEDERAL","1009"
"1984714","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","LIBERTADOR LINES","L","LEGAL","PELLEGRINI CARLOS","651","CAPITAL FEDERAL","CAPITAL FEDERAL","1009"
"1984715","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","ISLA SAN ANTONIO","L","LEGAL","PELLEGRINI CARLOS","651","CAPITAL FEDERAL","CAPITAL FEDERAL","1009"
"1984716","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","FFV P&B","L","LEGAL","UGARTECHE","2802","CAPITAL FEDERAL","CAPITAL FEDERAL","1425"
"1984717","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","WC REAL STATE","L","LEGAL","YERBAL","954","CAPITAL FEDERAL","CAPITAL FEDERAL","1405"
"1984718","50","SOC. ANONIMA","VENADO DE LAS PAMPAS","L","LEGAL","MOREAU DE JUSTO ALICIA AV.","740","CAPITAL FEDERAL","CAPITAL FEDERAL","1107"
"1984719","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","AGROPECUARIA PAZ","L","LEGAL","MAIPU","388","CAPITAL FEDERAL","",""
"1984720","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","LU.ISA.OJE","L","LEGAL","RODRIGUEZ PENA","546","CAPITAL FEDERAL","CAPITAL FEDERAL","1020"
"1984721","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","FINECORP","L","LEGAL","YERBAL","1021","CAPITAL FEDERAL","",""
"1984722","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","ALIGSAN","L","LEGAL","MAURE","4035","CAPITAL FEDERAL","CAPITAL FEDERAL","1427"
"1984723","50","SOC. ANONIMA","SERVICIOS SJM","L","LEGAL","GALICIA","2325","CAPITAL FEDERAL","",""
"1984725","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","ARMADO","L","LEGAL","SAN SEBASTIAN","432","CAPITAL FEDERAL","",""
"1984729","175","CONTRATO DE FIDEICOMISO","FIDEICOMISO BEAUCHEF 409","L","LEGAL","AV. PUEYRREDON","442","CAPITAL FEDERAL","",""
"1984730","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","NOVA CRETE","L","LEGAL","SCHMIDL ULRICO AV.","7495","CAPITAL FEDERAL","CAPITAL FEDERAL","1440"
"1984732","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","SERNAT 44","L","LEGAL","AVENIDA RIVADAVIA","1341","CAPITAL FEDERAL","",""
"1984733","50","SOC. ANONIMA","ALBERDOS","L","LEGAL","SANTA FE AV.","3312","CAPITAL FEDERAL","CAPITAL FEDERAL","1425"
"1984734","50","SOC. ANONIMA","22 BAI","L","LEGAL","ALEM LEANDRO N AV.","592","CAPITAL FEDERAL","CAPITAL FEDERAL","1001"
"1984735","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","E-GAMING GROUP","L","LEGAL","BUCARELLI","2236","CAPITAL FEDERAL","CAPITAL FEDERAL","1431"
"1984736","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","ICAROS AVIACION","L","LEGAL","MIGUELETES","576","CAPITAL FEDERAL","",""
"1984737","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","GRUPO BRIANCO","L","LEGAL","MORENO","957","CAPITAL FEDERAL","CAPITAL FEDERAL","1091"
"1984738","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","DELTA MOTOR'S FIX","L","LEGAL","SUIPACHA","771","CAPITAL FEDERAL","CAPITAL FEDERAL","1008"
"1984739","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","XP GLOBAL","L","LEGAL","GUAYAQUIL","124","CAPITAL FEDERAL","CAPITAL FEDERAL","1424"
"1984740","50","SOC. ANONIMA","PUERTO CONSTRUCCIONES","L","LEGAL","LOLA MORA","420","CAPITAL FEDERAL","",""
"1984741","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","ENTREELLAS","L","LEGAL","CAAGUAZU","6675","CAPITAL FEDERAL","CAPITAL FEDERAL","1408"
"1984742","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","HUATAI","L","LEGAL","SAN JUAN AV.","3045","CAPITAL FEDERAL","CAPITAL FEDERAL","1233"
"1984743","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","DDATA BOUTIQUE","L","LEGAL","CORDOBA AV.","618","CAPITAL FEDERAL","CAPITAL FEDERAL","1054"
"1984744","50","SOC. ANONIMA","GALANTOS","L","LEGAL","ALCARAZ","4855","CAPITAL FEDERAL","CAPITAL FEDERAL","1407"
"1984745","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","MASCOTAMAS","L","LEGAL","IRIGOYEN","2153","CAPITAL FEDERAL","CAPITAL FEDERAL","1408"
"1984746","50","SOC. ANONIMA","NEPAC","L","LEGAL","AVENIDA CORRIENTES","456","CAPITAL FEDERAL","",""
"1984748","50","SOC. ANONIMA","ASHMEL","L","LEGAL","LEGUIZAMON MARTINIANO","1944","CAPITAL FEDERAL","CAPITAL FEDERAL","1440"
"1984749","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","GEN ALFA","L","LEGAL","AMENABAR","80","CAPITAL FEDERAL","CAPITAL FEDERAL","1426"
"1984750","50","SOC. ANONIMA","ILATEX","L","LEGAL","MORON","2835","CAPITAL FEDERAL","",""
"1984751","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","FEBRERO 2959 DEVS","L","LEGAL","AVENIDA DEL LIBERTADOR","6810","CAPITAL FEDERAL","",""
"1984752","50","SOC. ANONIMA","SOLUCIONES ENERGETICAS ECOLOGICAS","L","LEGAL","ESMERALDA","910","CAPITAL FEDERAL","CAPITAL FEDERAL","1007"
"1984754","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","DIBRO","L","LEGAL","HUMBOLDT","2477","CAPITAL FEDERAL","",""
"1984756","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","ARMBIJOU","L","LEGAL","JOSE EVARISTO URIBURU","325","CAPITAL FEDERAL","",""
"1984757","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","COSAS LINDAS BAZAR","L","LEGAL","CAAGUAZU","5830","CAPITAL FEDERAL","CAPITAL FEDERAL","1408"
