"numero_correlativo","tipo_societario","descripcion_tipo_societario","razon_social","tipo_asamblea","descripcion_tipo_asamblea","numero_asamblea","fecha_realizacion","fecha_presentacion"
"1945733","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","SYCOMP TECHNOLOGIES","O","Ordinaria","","20220720","20221013"
"1945742","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","MAVI INVERSIONES","O","Ordinaria","","20221223","20230116"
"1945764","50","SOC. ANONIMA","GARPA","O","Ordinaria","","20210405","20221102"
"1945769","50","SOC. ANONIMA","SIEMENS","O","Ordinaria","9379932","20200228","20220428"
"1945769","50","SOC. ANONIMA","SIEMENS","O","Ordinaria","9219503","20210326","20210506"
"1945769","50","SOC. ANONIMA","SIEMENS","O","Ordinaria","9379936","20220121","20220428"
"1945780","100","ASOCIACION CIVIL","COLEGIO DE PSICOANALISTAS ASOCIACION CIVIL","O","Ordinaria","9361707","20211202","20220323"
"1945780","100","ASOCIACION CIVIL","COLEGIO DE PSICOANALISTAS ASOCIACION CIVIL","O","Ordinaria","9361711","20211202","20220323"
"1945781","140","CAMARA","ARGENTINA DE MUJERES EMPRESARIAS Y PROFESIONALES","O","Ordinaria","9182152","20200930","20201216"
"1945783","100","ASOCIACION CIVIL","RED DE MUJERES POR LA DEMOCRACIA","O","Ordinaria","9232397","20210205","20210618"
"1945783","100","ASOCIACION CIVIL","RED DE MUJERES POR LA DEMOCRACIA","O","Ordinaria","9235023","20210315","20210630"
"1945783","100","ASOCIACION CIVIL","RED DE MUJERES POR LA DEMOCRACIA","O","Ordinaria","9435490","","20220817"
"1945930","50","SOC. ANONIMA","ARGENCANNA","O","Ordinaria","","20200515","20211220"
"1945930","50","SOC. ANONIMA","ARGENCANNA","O","Ordinaria","","20210513","20211220"
"1945961","100","ASOCIACION CIVIL","DE INVESTIGACION Y DESARROLLO DE TERAPIAS AVANZADAS","O","Ordinaria","9281367","20210610","20210929"
"1945961","100","ASOCIACION CIVIL","DE INVESTIGACION Y DESARROLLO DE TERAPIAS AVANZADAS","O","Ordinaria","9466770","","20221017"
"1945961","100","ASOCIACION CIVIL","DE INVESTIGACION Y DESARROLLO DE TERAPIAS AVANZADAS","O","Ordinaria","9196277","","20210208"
"1945962","50","SOC. ANONIMA","TREMU","O","Ordinaria","","20191104","20191230"
"1945962","50","SOC. ANONIMA","TREMU","O","Ordinaria","","20201113","20210817"
"1946003","50","SOC. ANONIMA","NIU PAMPEANA","O","Ordinaria","","20191129","20210730"
"1946003","50","SOC. ANONIMA","NIU PAMPEANA","O","Ordinaria","","20210222","20210730"
"1946039","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","ATHENEX CIDAL ARGENTINA","O","Ordinaria","9180165","20201013","20201210"
"1946039","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","ATHENEX CIDAL ARGENTINA","O","Ordinaria","9269653","20210929","20210907"
"1946039","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","ATHENEX CIDAL ARGENTINA","O","Ordinaria","9413741","20220725","20220705"
"1946110","50","SOC. ANONIMA","CERRADURAS INTELIGENTES","O","Ordinaria","","20200512","20211207"
"1946110","50","SOC. ANONIMA","CERRADURAS INTELIGENTES","O","Ordinaria","","20210512","20220126"
"1946121","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","MCNETWORK","O","Ordinaria","","20210623","20221128"
"1946121","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","MCNETWORK","O","Ordinaria","","20220420","20221122"
"1946156","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","UALI","O","Ordinaria","","20210122","20220302"
"1946156","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","UALI","O","Ordinaria","","20220118","20220822"
"1946206","50","SOC. ANONIMA","CUSTODIAM SECURITY","O","Ordinaria","","20200804","20221213"
